word,arti,contoh,bahasa
JURIK,hantu,,
JURIS,yuris,,
JURIT,perang,,Jawa
JURUH,cairan kental terbuat dari gula kelapa atau gula jawa,apam baru berasa enak jika diberi --,Jawa
JURUS,"cari: berjurus-jurus, sejurus",,prakategorial
JUTEK,judes,,Cakapan
KABAB,→ kebab,,
KABAG,kepala bagian,,akronim
KABAK,"tumbuhan terna, tingginya mencapai hingga 1 m, biasanya dibuat sayur",,
KABAR,laporan tentang peristiwa yang biasanya belum lama terjadi,dia mendapat -- bahwa saudaranya naik haji,
KABAT,cari: mengabat,,prakategorial
KABAU,"pohon yang agak besar, kayunya awet, digunakan untuk papan, buahnya berbau tidak sedap seperti jengkol",,
KABEL,"kawat (penghantar arus listrik) berbungkus karet, plastik, dan sebagainya",,
KABID,kepala bidang,,akronim
KABIL,cari: berkabilan,,prakategorial
KABIN,kamar di dalam kapal,,
KABIR,cari: mengabir,,prakategorial
KABIT,cari: mengabit,,prakategorial
KABOI,kumbang,,
KABUL,ucapan tanda setuju (terima) dari pihak yang menerima dalam suatu akad perjanjian atau kontrak,wali mempelai perempuan mengucapkan ijab dan mempelai laki-laki mengucapkan --,
KABUR,tidak dapat melihat sesuatu dengan jelas (tentang mata),matanya telah -- dimakan umur,
KABUS,kabut,,
KABUT,kelam,,
KACAK,tampak gagah,,
KACAM,"liana yang daunnya berseling menjorong, perbungaan berbentuk malai dengan bunga kecil berwarna putih, buahnya seperti buah buni, tumbuh di bioma tropis basah, endemik Malaysia",,Botani
KACAR,"kail untuk menangkap cumi-cumi dan sebagainya (biasanya tidak memakai kawat tajam, melainkan memakai bulu dan sebagainya)",,
KACAU,campur aduk (sehingga tidak terbeda-bedakan lagi),"kelompokkan surat-surat itu berdasarkan tanggal dan nomornya, jangan sampai --",
KACEK,selisih,,Jawa
KACER,kucica kampung,,
KACIH,kain penutup dada yang merupakan hiasan pada pakaian penari,,Sunda
KACIK,perahu besar di pantai selatan Madura yang bentuknya khas karena mirip biji mangga,,Madura
KACIP,"gunting tajam sebelah dan sendinya ada di ujung (perkakas untuk membelah pinang, gambir, dan sebagainya)",,
KACIR,cari: mengacir,,prakategorial
KACUK,bingung,,
KADAH,"belanak yang ukurannya dapat mencapai 60 cm, ujung rahang atas tersembunyi ketika mulut tertutup, kelopak lemak hampir menutupi mata, awal sirip punggung kedua di atas awal sirip dubur",,
KADAI,"suku bangsa yang mendiami sebagian daratan Pulau Taliabu dan Pulau Mangole di Kepulauan Sula, Kabupaten Maluku Utara, Provinsi Maluku",,
KADAL,"binatang kecil melata berkaki empat dan berekor, tubuhnya bersisik berkilat, berwarna hijau kekuning-kuningan",,
KADAM,telapak kaki,ke bawah -- ke bawah duli,Arab
KADAR,kuasa,ala --nya menurut kuasa (kekuatan) masing-masing,
KADAS,kurap (semacam penyakit kulit) yang disebabkan oleh jenis jamur,,
KADER,perwira atau bintara dalam ketentaraan,,
KADES,kepala desa,,akronim
KADET,pelajar sekolah calon perwira,,
KADHA,→ qada,,
KADIH,kadah,,
KADIL,"ikan laut, bentuk seperti cerutu, bulat memanjang, warna bagian atas cokelat, bagian bawah keperakan, ukuran jantan mencapai 60 cm dan betina 30 cm, hidup di daerah terumbu karang perairan tropis dengan kedalaman 10–60 m, tersebar di perairan Indo-Pasifik Barat",,
KADIM,terdahulu dari tiap-tiap permulaan,Allah sebagai pencipta makhluk bersifat --,Arkais
KADIN,Kamar Dagang dan Industri,,Perdagangan
KADIR,mahakuasa,Alkadir Yang Mahakuasa (Allah Swt.),Arab
KADIS,kepala dinas,,akronim
KADIT,kepala direktorat,,akronim
KADIV,kepala divisi,,akronim
KADOK,sirih hutan (tidak ada gunanya),,
KADRU,warna cokelat kemerah-merahan,,
KADUT,kain karung (rami),,Jawa
KAETI,Mandobo,,
KAFAH,sempurna,kerinduan untuk menempatkan diri sebagai seorang muslim yang --,
KAFAN,kain (putih) pembungkus mayat,,
KAFIL,orang yang menanggung tenaga kerja,,
KAFIR,orang yang ingkar,,
KAFOA,"suku bangsa yang mendiami daerah sebelah utara Aluben, Provinsi Nusa Tenggara Timur",,
KAGAK,tidak,,Adverbia
KAGET,terperanjat,ibu sangat -- ketika mendengar berita tentang kematian adiknya,
KAGOK,susah atau menjadi terhalang untuk melakukan sesuatu,"kamu jangan duduk terlampau dekat dengan sopir, nanti dia --",
KAGUM,heran (dengan rasa memuji),dia -- menyaksikan ketangkasan pemain silat itu,
KAHAF,gua,,Arab
KAHAK,dahak,,
KAHAN,"kera dari Kalimantan, bertubuh besar dan berhidung sangat mancung",,
KAHAR,"kereta beroda dua yang ditarik oleh kuda, lembu, atau kerbau",,
KAHAT,kekeringan karena tidak turun hujan,,Arab
KAHIN,ahli (tukang) sihir,,Arab
KAHWA,kopi,,Klasik
KAIDO,"nyanyian dengan harmonika mulut (berupa teriakan-teriakan nyaring), dilakukan pada saat bekerja atau berperang untuk memberi semangat",,Ekari
KAILI,suku bangsa yang mendiami provinsi Sulawesi Tengah,,
KAIMO,"suku bangsa yang mendiami Kabupaten Merauke, Provinsi Papua",,
KAING,"tiruan bunyi salak anjing yang kesakitan (karena dipukul, dilempar, dan sebagainya)",,
KAJAI,tali pada leher kuda,tali --,
KAJAR,tulang jaring,,Melayu Medan
KAJUR,kepala jurusan,,akronim
KAKAH,cari: terkakah-kakah,,prakategorial
KAKAK,saudara tua,,
KAKAO,"pohon cokelat, bijinya dibuat bubuk untuk minuman dan sebagainya",,
KAKAP,"ikan laut yang sering memasuki perairan tawar, ukurannya dapat mencapai 200 cm, tubuhnya pipih memanjang, bersisik, warnanya keperakan, tersebar di daerah Indo-Pasifik",,
KAKAR,→ kekar (1),,
KAKAS,kuku,,
KAKEK,bapak dari ayah atau bapak dari ibu,,
KAKOK,cari: mengakok,,prakategorial
KAKSA,bijih timah yang terdapat di dasar lembah,,Geografi dan Geologi
KAKUS,tempat buang air,,
KALAH,"tidak menang atau dalam keadaan tidak menang (dalam perkelahian, perang, pertandingan, pemilihan, dan sebagainya)",dia -- dalam merebut bola itu,
KALAI,baring,,Minangkabau
KALAK,"tumbuhan memanjat, panjang hingga 10 m, batangnya liat dan awet, digunakan sebagai tali pengikat rakit",,
KALAM,perkataan,"dalam hal ini kita tidak perlu berpanjang --, cukup membicarakan yang pokok-pokok saja",
KALAN,tidak tahan disengat binatang,disengat lebah kecil saja engkau --,
KALAP,lupa diri (ketika marah),ia marah sekali sampai --,
KALAR,leher baju,,Arkais
KALAS,gelang-gelang atau tali dari rotan pada dayung atau pengayuh,-- pada kapal itu sudah agak rapuh,Pelayaran
KALAT,"ikan laut, panjang mencapai 12,7 cm, hidup di dasar perairan beriklim sedang dengan kedalaman mencapai 20 m, tersebar di perairan Pantai Alaska sampai Pulau Aleutian Barat dan Oregon, AS",,
KALAU,kata penghubung untuk menandai syarat,"-- keluar, Anda harus minta izin dulu",Partikel
KALBI,berhubungan dengan kalbu,,
KALBU,pangkal perasaan batin,,
KALDU,air (kuah) daging yang direbus,,
KALEM,dalam keadaan tidak tergesa-gesa,kerjakan tugas ini dengan -- supaya memperoleh hasil yang baik,Cakapan
KALET,sangat kurus (tentang tubuh),badannya terlihat -- karena sakit,Jawa
KALIH,cari: berkalih,,prakategorial
KALIO,"masakan dari daging dan sebagainya yang diberi santan dan bumbu, dimasak hampir kering",,Minangkabau
KALIS,suci,bayi yang -- dari dosa jangan disia-siakan,
KALKE,"teknik penerjemahan kata atau frasa dari bahasa sumber ke bahasa sasaran, baik leksikal maupun gramatikal",,
KALOR,"tenaga panas yang dapat diterima dan diteruskan oleh satu benda ke benda lain secara hantaran (konduksi), penyinaran (radiasi), atau aliran (konveksi)",,Fisika
KALUI,gurami,,
KALUK,→ keluk,,
KALUS,bagian kulit yang menebal dan mengeras,,Kedokteran dan Fisiologi
KALUT,kusut tidak keruan,keadaan rumah tangganya --,
KAMAL,sempurna,,Arab
KAMAR,ruang yang bersekat (tertutup) dinding yang menjadi bagian rumah atau bangunan (biasanya disekat atau dibatasi empat dinding),,
KAMAS,kakak,,
KAMAT,→ ikamah,,
KAMAU,pisau dari tulang binatang,,Sentani
KAMBA,susunan bahan makanan ternak yang tidak padat,,
KAMBI,bingkai dari kayu (papan dan sebagainya) pada pintu (pinggiran dinding dan sebagainya) untuk menguatkan tepi pintu (dinding dan sebagainya),,Klasik
KAMBU,bakul,,
KAMEO,peran kecil yang biasanya dimainkan oleh seorang aktor atau aktris terkenal dalam sebuah adegan pendek,,Perfilman
KAMIL,sempurna,tidak seorang pun manusia di dunia ini yang bersifat --,Arab
KAMIR,→ khamir,,
KAMIS,→ gamis,,
KAMKA,kain sutra yang berhiaskan benang emas,lain dari itu dibawa pula sutra benang emas -- dewangga,Arkais
KAMLA,keamanan laut,,akronim
KAMPA,wijayakusuma,,
KAMPO,memecahkan (buah manggis) dengan cara mengapit dengan kedua telapak tangan,buah manggis itu sudah di--nya,Melayu Riau
KAMRA,keamanan rakyat,,akronim
KAMUS,"karya rujukan atau acuan dalam bentuk cetak maupun digital yang memuat kata dan ungkapan, dapat disusun menurut abjad atau tema, berisi keterangan tentang makna, pemakaian, atau terjemahan",,
KANAF,kesatuan kekerabatan dalam suku Dawan di Kupang yang dipersatukan karena memiliki nenek moyang yang sama,,
KANAH,→ kanaah,,
KANAL,terusan,,
KANAN,"arah, pihak, atau sisi bagian badan kita yang tidak berisi jantung",,
KANAT,→ kanaah,,
KANCA,teman,,Jawa
KANDA,kata sapaan hormat kepada kakak,,
KANDI,pundi-pundi,,Jawa
KANDU,panggilan sopan bagi orang tua,,Alas
KANIA,upacara adat masa peralihan anak gadis dari masa kanak-kanak ke masa remaja atau dewasa dengan cara dipingit selama tujuh hari tujuh malam,,Wolio
KANJA,(ikan) kakap,,
KANJI,tepung dari pati singkong,,
KANON,uang pajak untuk tanah sewa yang turun-temurun,,
KANTA,kaca yang kedua belah permukaannya melengkung (cekung atau cembung),,
KANTI,teman,,
KANTO,lensa,,Fisika
KANTU,"suku bangsa yang mendiami hulu Sungai Kapuas, Provinsi Kalimantan Barat",,
KANUM,"suku bangsa yang mendiami daerah pesisir Papua bagian selatan, Kabupaten Merauke, Provinsi Papua",,
KANUN,→ qanun (1),,
KANYA,Virgo,,
KAOMU,"golongan bangsawan yang menempati status sosial yang tertinggi dalam sistem pelapisan sosial masyarakat, biasa dikenal dengan sebutan La Ode untuk laki-laki dan Wa Ode untuk perempuan, diletakkan di awal nama",,Muna
KAPAH,cari: terkapah-kapah,,prakategorial
KAPAI,cari: terkapai-kapai,,prakategorial
KAPAK,"alat yang terbuat dari logam, bermata, dan bertangkai panjang",,
KAPAL,"kendaraan pengangkut penumpang dan barang di laut (sungai dan sebagainya) terbuat dari kayu atau besi, bertiang satu atau lebih, bergeladak, digerakkan oleh mesin atau layar",,
KAPAN,kata tanya untuk menanyakan waktu,-- dia akan pergi?,Pronomina
KAPAR,kayu atau sampah dan sebagainya yang hanyut di sungai dan sebagainya,,
KAPAS,"tanaman yang mencapai tinggi hingga 2 m, buahnya mengandung serat berbulu putih yang dibuat benang dan sebagainya",,
KAPAT,musim penangkapan nener (pada bulan September),,
KAPEH,menyusun papan untuk membuat perahu mulai dari lunas hingga mencapai ketinggian tertentu,,Melayu Kalimantan
KAPEL,"gereja kecil (di asrama, biara, dan sebagainya)",,
KAPER,→ karper,,
KAPET,kawasan pengembangan ekonomi terpadu,,akronim
KAPIR,→ kafir,,
KAPIS,kerang,,
KAPIT,cari: pengapit,,prakategorial
KAPOK,jera,anak itu belum -- juga bermain-main di laut yang bergelombang itu,
KAPOL,kepala polisi,,akronim
KAPON,unggas jantan yang dihilangkan atau ditekan perkembangan buah pelirnya,,
KAPPA,kapa,,
KAPRI,→ kacang (1),,
KAPUK,randu,,
KAPUR,"bahan serbuk yang putih warnanya, diperoleh dari batu putih (sisa-sisa organisme laut) yang dibakar, digunakan sebagai campuran makan sirih, pemutih dinding, bahan obat-obatan, dan sebagainya",,
KAPUS,kepala pusat,,akronim
KARAF,kendi tanpa cerat dari tanah dan sebagainya tempat menyimpan air minum atau minuman lain,,
KARAH,"bintik (noda) pada kulit (gigi, daun, dan sebagainya) seperti pada kulit penyu atau siput",,
KARAK,→ kerak (1),,
KARAM,tenggelam ke dasar laut (tentang kapal dan sebagainya),kapal tua itu -- karena bocor,
KARAN,pertumbuhan tulang yang tidak normal pada vagina,,
KARAP,sisir halus pada perkakas tenun,,
KARAR,tenang,hendaklah senantiasa -- hatinya,
KARAS,kue atau penganan yang dibuat dari tepung beras,,
KARAT,lapisan merah (kekuning-kuningan) yang melekat pada besi dan sebagainya sebagai akibat proses kimia,,
KARAU,aduk,,
KARBO,karbohidrat,,Ilmu Gizi:
KAREL,"ruangan di perpustakaan yang terletak dekat koleksi rujukan yang disediakan khusus untuk studi perseorangan atau kelompok, dapat dipakai untuk menyimpan buku dan catatan yang sewaktu-waktu dapat dikunci pada saat ruangan tersebut tidak digunakan",,
KARET,"tumbuhan besar yang tingginya mencapai 25 m dan kulit batangnya menghasilkan getah yang digunakan sebagai bahan membuat ban, bola, dan sebagainya",,
KARGO,"muatan barang yang diangkut dengan kapal laut, pesawat udara, atau pengangkut lain",,
KARIA,"upacara adat yang dilakukan setelah upacara katoba, yaitu berupa pemingitan gadis sampai waktu menikahkannya",,Muna
KARIB,dekat (tentang hubungan famili),,
KARIH,karau,,
KARIL,kelinci,,
KARIM,murah hati,,Arab
KARIR,→ karier,,
KARMA,perbuatan manusia ketika hidup di dunia,hidup sebagai umat Tuhan itu sekadar melakukan darma dan --,
KARON,"suku bangsa yang mendiami sebelah utara danau Amaru, kabupaten Sorong, Provinsi Papua",,
KARSA,daya (kekuatan) jiwa yang mendorong makhluk hidup untuk berkehendak,,
KARST,daerah yang terdiri atas batuan kapur yang berpori sehingga air di permukaan tanah selalu merembes dan menghilang ke dalam tanah (permukaan tanah selalu gundul karena kurang vegetasi),,Geografi dan Geologi
KARTI,perbuatan,,
KARTU,"kertas tebal, berbentuk persegi panjang (untuk berbagai keperluan, hampir sama dengan karcis)",,
KARUK,bunga atau bakal buah jambu (jambu air atau jambu biji),,
KARUN,"orang yang kaya raya pada zaman Nabi Musa a.s., yang akibat kesombongannya ia dan harta bendanya tertimbun tanah",,
KARUT,kusut,,
KARYA,pekerjaan,,
KASAB,→ kasap (2),,
KASAD,maksud,niat dan -- orang tua itu tidak lain hanya ingin menyenangkan anak-anaknya,
KASAH,→ kasa (1),,
KASAI,bau-bauan untuk mencuci rambut,saya membuat -- dari sari air mawar,
KASAM,dendam,,Arkais
KASAP,tidak halus,kulitnya berbulu --,
KASAR,agak besar,pasir -- cocok untuk menutup jalan berlubang itu,
KASAU,"kayu (bambu) yang dipasang melintang seakan-akan merupakan tulang rusuk pada atap rumah, jembatan, balai-balai, dan sebagainya",atap rumah yang memakai -- bambu lebih tahan daripada rumah yang memakai -- kayu biasa,
KASDU,sudi,barang siapa yang -- silakan mencicipi masakan itu,Arkais
KASEP,→ kasip (1),,
KASET,wadah plastik dengan pita magnetik yang dapat berputar dari satu gelendong ke gelendong yang lain,,
KASIA,kayu manis,,
KASID,kurir,,Arkais
KASIH,"perasaan sayang (cinta, suka kepada)",pria itu menaruh -- kepada gadis tetangganya,
KASIM,kebiri,,
KASIP,terlambat,,Jawa
KASIR,pemegang kas (uang),ia bekerja sebagai -- di toko buku itu,
KASPE,ubi kayu,,
KASTA,golongan (tingkat atau derajat) manusia dalam masyarakat,dalam kitab Weda tidak terdapat --,
KASTI,olahraga beregu dengan satu bola kecil (bola tenis) dan satu alat pemukul,,
KASUI,kue yang terbuat dari tepung dan gula yang dikukus,,
KASUM,kepala staf umum,-- TNI memberikan arahan pada acara itu,Kemiliteran
KASUP,gunting khusus untuk mengupas kulit pinang,,Benuaq
KASUR,"alas tidur yang terbuat dari kain atau plastik, berisi kapuk, karet busa, dan sebagainya",,
KASUS,keadaan yang sebenarnya dari suatu urusan atau perkara,,
KASUT,"alas kaki, seperti sepatu dan selop",,
KASWI,→ kasui,,
KATAH,cari: terkatah-katah,,prakategorial
KATAI,kecil atau kerdil pertumbuhannya,ayam --,
KATAK,"binatang amfibi pemakan serangga yang hidup di air tawar atau di daratan, berkulit licin, berwarna hijau atau merah kecokelat-cokelatan, kaki belakang lebih panjang daripada kaki depan, pandai melompat dan berenang",,
KATAM,→ khatam (2),,
KATAN,→ khitan,,
KATAR,perahu layar,,
KATEK,→ ketek (1),,
KATEL,"laba-laba besar, berbulu, dan berwarna hitam",,
KATER,sayap di kiri kanan perahu untuk menjaga keseimbangan,,Pelayaran
KATES,pepaya,,Jawa
KATIB,penulis atau penyalin (tulisan),maka -- pun segera menuliskan surat sesuai dengan permintaan raja,Arab
KATIK,→ katai,,
KATIL,"tempat tidur (dari kayu, besi, dan sebagainya)",,
KATIR,"kayu ringan atau buluh, dipasang di kanan-kiri perahu untuk menjaga keseimbangan",,
KATOK,celana (panjang atau pendek),,Jawa
KATRO,norak,,Cakapan
KATSU,potongan daging,-- ayam,Jepang
KATUK,"perdu, tinggi mencapai 3 m, tumbuh lurus ke atas dengan ranting-ranting yang dipenuhi daun berselang-seling pada tangkainya, daunnya dapat disayur, buahnya yang kecil berwarna putih dapat dibuat manisan",,
KATUL,bekatul,,
KATUN,cita atau bahan pakaian yang dibuat dari benang kapas,,
KATUP,penutup (biasanya hanya dapat terbuka ke satu arah saja) yang dibuat (diciptakan) pas dengan lubangnya sehingga tidak bocor,,
KATUT,terbawa,,Jawa
KAULA,→ kawula,,
KAULI,"berupa perkataan, ucapan Nabi Muhammad saw. (tentang hadis)",,
KAUNG,→ kawung (1),,
KAUSA,sebab yang menimbulkan suatu kejadian,"secara kriminologis dikatakan bahwa kemiskinan merupakan faktor yang mendorong, tetapi bukanlah -- yang menentukan",
KAVER,cari: mengaver,,prakategorial
KAWAH,kuali besar,,
KAWAK,sudah tua,,
KAWAL,jaga,,
KAWAN,"orang yang sudah lama dikenal dan sering berhubungan dalam hal tertentu (dalam bermain, belajar, bekerja, dan sebagainya)",orang ramah banyak --,
KAWAO,pohon yang kulitnya dijadikan ramuan pembersih tabung bambu supaya air nira tidak cepat masam,,Sunda
KAWAT,tali yang dibuat dari logam,,
KAWIH,"lagu tradisional dalam bahasa Sunda yang iramanya tidak teratur, dinyanyikan sambil bersajak",lagu -- biasa dinyanyikan orang untuk mengiringi kecapi,Sunda
KAWIN,membentuk keluarga dengan lawan jenis,ia -- dengan anak kepala kampung,
KAWUK,biawak besar yang terdapat di Pulau Nusakambangan,,
KAWUL,→ kaul (2),,
KAYAI,"cari: mengayaikan, terkayai",,prakategorial
KAYAK,seperti,,Partikel
KAYAL,→ khayal,,
KAYAN,berbagai macam kayu,,
KAYAS,putih sedikit kemerah-merahan,,Sunda
KAYAT,nyanyian tradisional Riau yang diiringi dengan gendang dan dulang atau talam,,Melayu Riau
KAYAU,"cari: mengayau, pengayau, pengayauan",,prakategorial
KAYUH,dayung yang berdaun sebelah,,
KAYUN,→ putar (1),,
KAZAK,bahasa yang dituturkan di Kazakstan,,
KBRAY,kanjeng bendara raden ayu,,singkatan
KEBAB,daging cincang panggang yang diberi sayuran (dipanggang seperti satai),,
KEBAH,basah berkeringat,,Arkais
KEBAI,terkulai seperti ayam yang patah sayap,tubuhnya lemah -- karena sakit,Melayu Riau
KEBAL,tidak mempan senjata,"ia memang --, kabarnya peluru pun tidak mempan terhadapnya",
KEBAM,putih kebiru-biruan,,
KEBAS,berasa kaku kakinya (karena lelah),,
KEBAT,ikat,,
KEBEL,bidara laut,,
KEBEN,lumbung padi yang terbuat dari kulit kayu,,Alas
KEBIL,berkedip-kedip karena keheranan (tentang mata),,Melayu Riau
KEBIN,→ kabin,,
KEBIT,→ kebat (2),,
KEBUK,tabung atau kayu berongga untuk membuat laksa,,
KEBUL,→ kepul (1),,
KEBUN,sebidang tanah yang ditanami pohon musiman (buah-buahan dan sebagainya),,
KEBUR,cari: mengebur,,prakategorial
KEBUT,hilang,,
KECAH,tidak kemas atau tidak teratur,,Klasik
KECAI,"cari: berkecai, berkecai-kecai, terkecai",,prakategorial
KECAK,"nama tarian Bali (yang dilakukan oleh puluhan orang laki-laki, menggambarkan pasukan kera pengikut Rama)",,
KECAM,"cari: kecaman, mengecam, mengecamkan, pengecam, pengecaman",,prakategorial
KECAP,cairan atau saus hasil olahan kacang kedelai yang diberi gula dan rempah-rempah untuk penyedap rasa masakan,,
KECAR,acar,,Arkais
KECEK,"celoteh, cakap, omong (yang bukan-bukan dan bersifat negatif)",,Minangkabau
KECER,alat musik tradisional yang terdiri atas setangkup logam berbentuk bulat atau persegi delapan yang pada bagian atas tengahnya cembung dan berlubang untuk tempat tali pengikat (penggantung) untuk menggerak-gerakkan tangkupan logam itu ke atas dan ke bawah agar dapat berbenturan dan menghasilkan bunyi,,Bali
KECIK,→ kecil,,
KECIL,kurang besar (keadaannya dan sebagainya) daripada yang biasa,kursi -- itu dirancang untuk anak-anak usia sekitar lima tahun,
KECIT,kecil,,Cakapan
KECOA,→ kecoak,,
KECOH,lakukan tipu,,Cakapan
KECUP,tiruan bunyi bibir yang dimoncongkan lalu ditarik kembali (sehingga berbunyi “cup”),,
KECUT,kedut,,
KEDAH,terbuka lebar (tentang mulut),,
KEDAI,"bangunan tempat berjualan (makanan, minuman dan sebagainya)",,
KEDAL,penyakit kulit yang menyebabkan belang-belang pada kulit,,
KEDAM,berwarna timbel (timah hitam),,
KEDAN,→ kejan,,
KEDAP,"kerap dan rapat sekali (tentang tenunan, anyaman, dan sebagainya)",kain yang dipakai untuk menyekat kedua ruang itu dipilihkan yang --,
KEDAR,→ kadar (1),,
KEDAU,teriak,,Arkais
KEDEK,goyang,,
KEDER,takut,"saya tidak --, katanya, lalu dia melompat ke atas perahu dengan cekatan untuk mengikuti perlombaan itu",Melayu Jakarta
KEDIK,"lentik sedikit ke belakang (tentang badan, kepala)",,
KEDIP,gerak kelopak mata (membuka dan menutup berganti-ganti),ia memberi isyarat dengan -- mata,
KEDOK,tiruan muka untuk menutup muka,kawanan perampok yang datang tengah malam itu semua memakai --,
KEDOT,kuat,dialah orang yang paling -- yang pernah saya temui,Melayu Jakarta
KEDUA,nomor dua,anaknya yang ~ lahir kemarin,Numeralia
KEDUK,"keduk, korek",,
KEDUL,bola dari kayu (gading atau tanduk),,Arkais
KEDUT,"lipatan pada kulit, kain, dan sebagainya",,
KEFIR,hasil fermentasi susu kambing,,Kimia
KEHEL,keluk,,
KEJAI,pohon yang menghasilkan karet,,
KEJAM,tidak menaruh belas kasihan,"ketika berkuasa, pemimpin sangat -- terhadap rakyatnya",
KEJAN,cari: mengejan,,prakategorial
KEJAP,kedip,,
KEJAR,susul dengan berlari,,
KEJAT,kaku dan tegang (tentang anggota tubuh),,
KEJEN,mata bajak,,Melayu Jakarta
KEJER,terus-menerus menangis dengan keras (seperti tangis kanak-kanak),anak itu menangis --,Adverbia
KEJIP,kejap,,
KEJUR,keras dan kaku (tidak dapat dilentukkan),rambutnya -- sehingga sukar sekali diatur,
KEJUT,"menjadi kaku (tentang urat, anggota badan) karena terperanjat dan sebagainya",,
KEKAH,→ akikah,,
KEKAL,"tetap (tidak berubah, tidak bergeser, dan sebagainya) selama-lamanya",kematian adalah sekadar penutup babak kefanaan bagi suatu babak baru hidup --,
KEKAM,buih atau kotoran yang terapung-apung pada permukaan air,,Arkais
KEKAR,kembang,bunga --,
KEKAS,kais,,
KEKAT,buih (daun-daunan dan sebagainya) yang terapung-apung dalam air,,
KEKAU,tiba-tiba terjaga (dari tidur),,
KEKEH,tawa keras,,
KEKEK,tawa nyaring,,
KEKEL,kikir,,
KEKEP,"tutup periuk, belanga, dan sebagainya dari tanah",,Jawa
KEKER,teropong,,Cakapan
KEKOK,tidak mudah memakainya (tentang alat perkakas dan sebagainya),kemudi mobil ini -- benar,
KEKOL,suap,,
KELAB,tempat hiburan (untuk bersenang-senang),,
KELAH,piknik,,Klasik
KELAI,tidur dengan bersandar,,
KELAK,yang akan datang,diharapkan agar anak ini -- menjadi orang yang berguna bagi nusa dan bangsa,
KELAM,agak gelap,hari mulai --,
KELAP,"cari: mengelapkan, sekelap, terkelap",,prakategorial
KELAR,takik (pada batang pohon yang hendak ditebang dan sebagainya),,
KELAS,tingkat,ia naik ke -- tiga,
KELAT,"tali besar berpilin empat, dibuat dari sabut kelapa atau rami untuk tali-temali perahu",,Madura
KELEK,"cari: kelek-kelek, kelek-kelekan",,prakategorial
KELEM,membuat jaring di bawah air,,Jawa
KELEP,→ klep,,
KELER,peti tempat menyimpan botol minuman keras dan sebagainya,,
KELET,"ikan laut, hidup di perairan terumbu karang tropis dengan kedalaman mencapai 96 m, ukuran mencapai panjang 35 cm, umur 11 tahun, tersebar di perairan Indo-Pasifik Barat",,
KELIH,terbuka (mata),,
KELIK,keluk kecil,memberi bentuk kepada -- perasaannya yang sehalus-halusnya,
KELIM,lipatan jahitan di tepi kain (layar dan sebagainya),,
KELIP,cahaya kecil yang terputus-putus,,
KELIR,tirai kain putih untuk menangkap bayangan wayang kulit,,
KELIS,cari: mengelis,,prakategorial
KELIT,elak,,
KELOK,lengkung,,
KELOM,kelompen,,kependekan
KELON,peluk dengan sayang,,
KELOP,klop,,Cakapan
KELOR,"pohon yang cepat tumbuh, tinggi hingga 8 m, akarnya membesar, kulit akar dan daun memiliki rasa atau sifat khusus, digunakan sebagai obat",,
KELOS,kumparan,,
KELOT,dataran rendah atau daerah pantai di Pulau Bali yang menjadi tempat tinggal penduduk suku Bali,,Bali
KELUA,manisan kering,,
KELUH,"ungkapan yang keluar karena perasaan susah (karena menderita sesuatu yang berat, kesakitan, dan sebagainya)",,
KELUI,rami,,
KELUK,sesuatu yang melengkung,,
KELUN,cari: berkelun-kelun,,prakategorial
KELUS,terkupas (hilang) kulitnya,,
KELUT,kalut,,
KEMAH,"tempat tinggal darurat, biasanya berupa tenda yang ujungnya hampir menyentuh tanah dibuat dari kain terpal dan sebagainya",,
KEMAL,cari: berkemal,,prakategorial
KEMAM,"menahan (makanan, air, perkataan) di dalam mulut",,
KEMAS,teratur (terbungkus) rapi,,
KEMAT,kemampuan adikodrati,,
KEMBU,bakul kecil tempat ikan,,
KEMIH,air seni,,
KEMIK,penyok,mobil itu -- tersenggol truk,
KEMIL,→ camil,,
KEMIS,Kamis,,Cakapan
KEMIT,penjaga malam,,
KEMON,"tumbuhan yang mengambang di air, di beberapa tempat dibudidayakan di rawa-rawa untuk dibuat sayur",,
KEMPA,"benda yang dipakai untuk menekan (memerah, mengapit, dan sebagainya)",,
KEMPO,seni bela diri yang banyak menggunakan permainan tangan,,Jepang
KEMPU,"kotak bundar bertutup untuk menyimpan pakaian, barang kecil-kecil, dan sebagainya",,
KEMUL,selimut,,Jawa
KEMUT,"cari: mengemut, terkemut-kemut",,prakategorial
KENAF,"tumbuhan yang tingginya mencapai 3 m, kulit pohon dibuat serat nabati untuk pembuatan tali, karung, dan kain kanvas",,
KENAL,tahu dan teringat kembali,"baru mendengar suaranya, aku sudah -- siapa dia",
KENAN,"cari: berkenan, memperkenankan, perkenan, perkenanan",,prakategorial
KENAP,meja kecil,,
KENAS,peda atau pekasam lokan yang dicampur dengan sagu atau nasi sampai memuai,,
KENCA,batang besi atau kayu runcing bertali untuk mengukur atau menentukan batas tanah,,Sunda
KENDI,tempat air bercerat (dibuat dari tanah),,
KENDO,olahraga anggar tradisional Jepang,,
KENEK,kernet,,
KENEM,satuan terkecil dalam tingkat ungkapan dan tidak mempunyai makna,,Linguistik
KENES,lincah dan menawan hati (tentang sikap anak kecil) banyak bicara dan banyak tingkah yang menyenangkan,,Cakapan
KENOP,"tombol (pada pintu, lampu, radio, dan sebagainya)",,
KENOR,→ kenur,,
KENTI,anak kancil,,Jawa
